YEAR,SERIAL,HWTSUPP,CPSID,ASECFLAG,HFLAG,METAREA,MONTH,PERNUM,CPSIDP,WTSUPP,SEX,RACE,OCC2010,INCTOT
2013,92957,2862.21,20111200481500.0,1,,7365,3,1,20111200481504.0,2862.21,1,100,9620,25000
2013,92957,2862.21,20111200481500.0,1,,7365,3,2,20111200481505.0,4541.27,1,100,6260,12011
2013,92957,2862.21,20111200481500.0,1,,7365,3,3,20111200481503.0,4513.16,1,100,6420,25000
2013,92957,2862.21,20111200481500.0,1,,7365,3,4,20111200481506.0,4513.16,1,100,9130,10000
2013,92959,2385.98,20121200431500.0,1,,7365,3,1,20121200431501.0,2385.98,2,652,3530,53515
2013,92959,2385.98,20121200431500.0,1,,7365,3,2,20121200431502.0,2385.98,1,652,3110,71000
2013,92959,2385.98,20121200431500.0,1,,7365,3,3,20121200431503.0,1661.4,2,652,9920,99999999
2013,92963,3137.8,20111200745800.0,1,,7365,3,1,20111200745801.0,3137.8,2,100,430,77800
2013,92963,3137.8,20111200745800.0,1,,7365,3,2,20111200745803.0,3309.68,1,100,4620,23520
2013,92963,3137.8,20111200745800.0,1,,7365,3,3,20111200745802.0,3309.68,1,100,4700,14120
2013,92964,2342.21,20111200672000.0,1,,7365,3,1,20111200672001.0,2342.21,2,802,5700,49000
2013,92964,2342.21,20111200672000.0,1,,7365,3,2,20111200672002.0,2342.21,1,802,9920,77000
2013,92965,3108.06,20111200662900.0,1,,7365,3,1,20111200662901.0,3108.06,1,100,9920,34715
2013,92965,3108.06,20111200662900.0,1,,7365,3,2,20111200662902.0,3188.8,1,100,9920,18000
2013,92965,3108.06,20111200662900.0,1,,7365,3,3,20111200662903.0,2740.29,2,100,9920,0
2013,92966,1636.31,20111200750900.0,1,,7365,3,1,20111200750901.0,1636.31,1,100,220,74645
2013,92966,1636.31,20111200750900.0,1,,7365,3,2,20111200750902.0,1636.31,2,100,9920,12000
2013,92966,1636.31,20111200750900.0,1,,7365,3,3,20111200750907.0,1589.28,2,100,4110,6240
2013,92966,1636.31,20111200750900.0,1,,7365,3,4,20111200750908.0,1534.87,1,100,9920,0
2013,92966,1636.31,20111200750900.0,1,,7365,3,5,20111200750906.0,1365.43,2,100,9920,99999999
2013,92966,1636.31,20111200750900.0,1,,7365,3,6,20111200750905.0,1365.43,2,100,9920,99999999
2013,92966,1636.31,20111200750900.0,1,,7365,3,7,20111200750903.0,1489.98,2,100,9920,99999999
2013,92966,1636.31,20111200750900.0,1,,7365,3,8,20111200750904.0,1489.98,2,100,9920,99999999
2013,92967,3141.2,20111200767800.0,1,,7365,3,1,20111200767801.0,3141.2,2,100,5110,26593
2013,92967,3141.2,20111200767800.0,1,,7365,3,2,20111200767802.0,3141.2,1,100,9920,36388
2013,92967,3141.2,20111200767800.0,1,,7365,3,3,20111200767803.0,3384.73,1,100,1050,0
2013,92968,3075.86,20111200667900.0,1,,7365,3,1,20111200667901.0,3075.86,2,100,9920,63828
2013,92968,3075.86,20111200667900.0,1,,7365,3,2,20111200667902.0,3075.86,1,100,9920,3028
2013,92969,3068.09,20111200722400.0,1,,7365,3,1,20111200722401.0,3068.09,1,100,1410,115421
2013,92969,3068.09,20111200722400.0,1,,7365,3,2,20111200722402.0,3068.09,2,100,2330,22921
2013,92970,2892.39,20111200653000.0,1,,7365,3,1,20111200653001.0,2892.39,1,100,1020,117865
2013,92970,2892.39,20111200653000.0,1,,7365,3,2,20111200653002.0,3447.39,2,100,5400,23840
2013,92971,3279.06,20111200690400.0,1,,7365,3,1,20111200690401.0,3279.06,2,100,4600,64083
2013,92972,1803.52,20111200469600.0,1,,7365,3,1,20111200469601.0,1803.52,1,200,9920,15599
2013,92973,1562.79,20111200417900.0,1,,7365,3,1,20111200417901.0,1562.79,1,100,4220,29017
2013,92973,1562.79,20111200417900.0,1,,7365,3,2,20111200417902.0,1562.79,2,100,2600,45000
2013,92973,1562.79,20111200417900.0,1,,7365,3,3,20111200417903.0,1391.36,2,100,9920,99999999
2013,92973,1562.79,20111200417900.0,1,,7365,3,4,20111200417905.0,1524.81,2,100,9920,99999999
2013,92973,1562.79,20111200417900.0,1,,7365,3,5,20111200417904.0,1844.14,1,100,7840,75766
2013,92974,1863.82,20111200543800.0,1,,7365,3,1,20111200543801.0,1863.82,2,200,9920,38400
2013,92976,1748.64,20111200669100.0,1,,7365,3,1,20111200669101.0,1748.64,2,651,350,130030
2013,92976,1748.64,20111200669100.0,1,,7365,3,2,20111200669102.0,1748.64,1,651,4530,10001
2013,92976,1748.64,20111200669100.0,1,,7365,3,3,20111200669104.0,2037.98,2,651,9920,0
2013,92976,1748.64,20111200669100.0,1,,7365,3,4,20111200669105.0,2037.98,2,651,9920,0
2013,92976,1748.64,20111200669100.0,1,,7365,3,5,20111200669103.0,1367.9,2,651,9920,99999999
2013,92977,1841.32,20111200666900.0,1,,7365,3,1,20111200666903.0,1841.32,1,651,4700,30072
2013,92977,1841.32,20111200666900.0,1,,7365,3,2,20111200666904.0,1748.64,2,651,5700,35000
2013,92977,1841.32,20111200666900.0,1,,7365,3,3,20111200666905.0,1931.18,1,651,9920,1760
2013,92978,3247.6,20111200450400.0,1,,7365,3,1,20111200450401.0,3247.6,2,100,2720,42016
2013,92980,1684.33,20111200534000.0,1,,7365,3,1,20111200534001.0,1684.33,2,100,1820,62000
2013,92980,1684.33,20111200534000.0,1,,7365,3,2,20111200534002.0,1684.33,1,651,4700,0
2013,92980,1684.33,20111200534000.0,1,,7365,3,3,20111200534003.0,2157.3,2,651,720,571
2013,92981,1427.99,20111200576300.0,1,,7365,3,1,20111200576301.0,1427.99,2,100,2010,20000
2013,92981,1427.99,20111200576300.0,1,,7365,3,2,20111200576302.0,1427.99,1,100,6230,40000
2013,92981,1427.99,20111200576300.0,1,,7365,3,3,20111200576303.0,1239.7,1,100,9920,99999999
2013,92981,1427.99,20111200576300.0,1,,7365,3,4,20111200576304.0,1382.13,2,100,9920,99999999
2013,92982,3042.81,20121200403200.0,1,,7365,3,1,20121200403201.0,3042.81,1,100,2630,120100
2013,92982,3042.81,20121200403200.0,1,,7365,3,2,20121200403202.0,3042.81,2,100,2310,24000
2013,92983,3266.71,20111200606100.0,1,,7365,3,1,20111200606101.0,3266.71,2,100,9920,65680
2013,92983,3266.71,20111200606100.0,1,,7365,3,2,20111200606102.0,3406.81,1,100,9620,19825
2013,92983,3266.71,20111200606100.0,1,,7365,3,3,20111200606103.0,3266.71,2,100,2310,88850
2013,92984,3856.4,20130300653000.0,1,,7365,3,1,20130300653001.0,3856.4,1,651,1100,113211
2013,92984,3856.4,20130300653000.0,1,,7365,3,2,20130300653002.0,3856.4,2,651,1020,44000
2013,92984,3856.4,20130300653000.0,1,,7365,3,3,20130300653003.0,2845.88,2,651,9920,99999999
2013,92985,3291.07,20130100693600.0,1,,7365,3,1,20130100693601.0,3291.07,1,100,1020,108040
2013,92985,3291.07,20130100693600.0,1,,7365,3,2,20130100693602.0,3291.07,2,100,5940,8540
2013,92985,3291.07,20130100693600.0,1,,7365,3,3,20130100693604.0,3229.85,2,100,4520,0
2013,92985,3291.07,20130100693600.0,1,,7365,3,4,20130100693603.0,3434.08,1,100,9620,2800
2013,92986,3473.82,20120100683500.0,1,,7365,3,1,20120100683501.0,3473.82,1,100,140,153588
2013,92988,3627.44,20120100491400.0,1,,7365,3,1,20120100491401.0,3627.44,1,100,4200,50000
2013,92988,3627.44,20120100491400.0,1,,7365,3,2,20120100491402.0,3627.44,2,100,9920,0
2013,92989,3627.44,20120100588700.0,1,,7365,3,1,20120100588701.0,3627.44,2,100,9920,25999
2013,92990,1672.11,20120100513500.0,1,,7365,3,1,20120100513501.0,1672.11,1,100,1460,105423
2013,92990,1672.11,20120100513500.0,1,,7365,3,2,20120100513502.0,1672.11,2,100,7000,149223
2013,92990,1672.11,20120100513500.0,1,,7365,3,3,20120100513504.0,1887.06,2,100,9920,99999999
2013,92990,1672.11,20120100513500.0,1,,7365,3,4,20120100513503.0,2385.56,2,100,9920,99999999
2013,92991,2176.28,20120100468300.0,1,,7365,3,1,20120100468301.0,2176.28,1,651,120,80005
2013,92991,2176.28,20120100468300.0,1,,7365,3,2,20120100468302.0,2176.28,2,651,3300,40005
2013,92991,2176.28,20120100468300.0,1,,7365,3,3,20120100468303.0,2094.16,2,651,9920,51
2013,92991,2176.28,20120100468300.0,1,,7365,3,4,20120100468304.0,1886.5,2,651,9920,99999999
